N,Min,Max,Random Number,Steps
50000,1,500000,26773,95
50000,1,500000,29766,134
50000,1,500000,30373,178
50000,1,500000,12194,37
50000,1,500000,29448,134
50000,1,500000,4532,64
50000,1,500000,8013,145
50000,1,500000,3351,136
50000,1,500000,17833,53
50000,1,500000,1300,26
50000,1,500000,32412,191
50000,1,500000,20766,74
50000,1,500000,10485,148
50000,1,500000,19784,123
50000,1,500000,20218,180
50000,1,500000,26449,51
50000,1,500000,18870,154
50000,1,500000,21821,131
50000,1,500000,15285,32
50000,1,500000,18839,105
50000,1,500000,1727,55
50000,1,500000,23243,113
50000,1,500000,15441,58
50000,1,500000,15924,27
50000,1,500000,18140,92
50000,1,500000,15580,84
50000,1,500000,14879,146
50000,1,500000,14082,58
50000,1,500000,27401,77
50000,1,500000,29905,72
50000,1,500000,13329,182
50000,1,500000,13821,58
50000,1,500000,12514,125
50000,1,500000,16161,146
50000,1,500000,21708,162
50000,1,500000,23301,51
50000,1,500000,6491,168
50000,1,500000,14147,102
50000,1,500000,12031,99
50000,1,500000,32480,41
50000,1,500000,10161,42
50000,1,500000,27343,121
50000,1,500000,5107,178
50000,1,500000,32639,129
50000,1,500000,3233,167
50000,1,500000,10208,60
50000,1,500000,14436,45
50000,1,500000,8578,78
50000,1,500000,4567,59
50000,1,500000,2748,40
50000,1,500000,7056,31
50000,1,500000,11006,174
50000,1,500000,22953,175
50000,1,500000,3767,87
50000,1,500000,25741,77
50000,1,500000,7037,150
50000,1,500000,18181,141
50000,1,500000,9812,42
50000,1,500000,10719,192
50000,1,500000,9542,104
50000,1,500000,8616,34
50000,1,500000,7854,83
50000,1,500000,22346,113
50000,1,500000,19423,61
50000,1,500000,19089,79
50000,1,500000,21014,149
50000,1,500000,9701,166
50000,1,500000,19409,167
50000,1,500000,5302,147
50000,1,500000,28158,82
50000,1,500000,23152,56
50000,1,500000,12203,63
50000,1,500000,5621,85
50000,1,500000,20502,149
50000,1,500000,15847,58
50000,1,500000,13897,138
50000,1,500000,1101,93
50000,1,500000,16052,45
50000,1,500000,1111,31
50000,1,500000,28246,59
50000,1,500000,29518,46
50000,1,500000,121,95
50000,1,500000,5617,85
50000,1,500000,11024,130
50000,1,500000,1486,96
50000,1,500000,5938,142
50000,1,500000,28253,103
50000,1,500000,13899,107
50000,1,500000,26590,77
50000,1,500000,8700,78
50000,1,500000,1617,47
50000,1,500000,25529,157
50000,1,500000,9469,91
50000,1,500000,10924,117
50000,1,500000,31585,85
50000,1,500000,26984,46
50000,1,500000,11915,143
50000,1,500000,25197,64
50000,1,500000,27161,38
50000,1,500000,8588,26
50000,1,500000,9856,29
50000,1,500000,4523,90
50000,1,500000,11849,99
50000,1,500000,6527,75
50000,1,500000,16989,35
50000,1,500000,16176,66
50000,1,500000,32160,72
50000,1,500000,4614,152
50000,1,500000,23139,82
50000,1,500000,21133,105
50000,1,500000,4220,170
50000,1,500000,21718,43
50000,1,500000,30979,147
50000,1,500000,13756,151
50000,1,500000,19713,61
50000,1,500000,855,54
50000,1,500000,32407,67
50000,1,500000,14851,133
50000,1,500000,10345,148
50000,1,500000,17063,79
50000,1,500000,11599,205
50000,1,500000,17435,159
50000,1,500000,12954,50
50000,1,500000,26850,46
50000,1,500000,12654,55
50000,1,500000,914,129
50000,1,500000,32766,160
50000,1,500000,4001,43
50000,1,500000,31158,54
50000,1,500000,14702,102
50000,1,500000,25999,51
50000,1,500000,12224,50
50000,1,500000,29728,134
50000,1,500000,21011,149
50000,1,500000,15153,84
50000,1,500000,10853,161
50000,1,500000,721,46
50000,1,500000,22119,100
50000,1,500000,6213,124
50000,1,500000,25405,201
50000,1,500000,15690,177
50000,1,500000,30771,178
50000,1,500000,15995,53
50000,1,500000,20489,180
50000,1,500000,20959,131
50000,1,500000,15821,146
50000,1,500000,9959,73
50000,1,500000,8538,65
50000,1,500000,7018,57
50000,1,500000,4340,46
50000,1,500000,25944,51
50000,1,500000,26776,95
50000,1,500000,16192,115
50000,1,500000,13563,89
50000,1,500000,21989,100
50000,1,500000,24393,69
50000,1,500000,26468,46
50000,1,500000,26666,33
50000,1,500000,18632,154
50000,1,500000,13200,138
50000,1,500000,27899,258
50000,1,500000,13409,120
50000,1,500000,8304,65
50000,1,500000,32244,98
50000,1,500000,1792,24
50000,1,500000,13054,76
50000,1,500000,5585,129
50000,1,500000,17507,79
50000,1,500000,20793,224
50000,1,500000,18433,92
50000,1,500000,5887,124
50000,1,500000,11895,143
50000,1,500000,16234,40
50000,1,500000,6254,155
50000,1,500000,29691,72
50000,1,500000,20216,180
50000,1,500000,20680,56
50000,1,500000,16371,128
50000,1,500000,19916,43
50000,1,500000,9889,122
50000,1,500000,6064,62
50000,1,500000,2507,40
50000,1,500000,31698,59
50000,1,500000,17447,172
50000,1,500000,27033,38
50000,1,500000,12514,125
